user_id,segment,avg._session_length,time_on_website,length_of_membership
5f10e9D33fC5f2b,Consumer,1.883038155,36.80576767,1.804173197
751cD1cbF77e005,Consumer,2.308671013,43.09222626,2.955942733
DcEFDB2D2e62bF9,Consumer,2.124066399,19.06265834,1.992043284
C88661E02EEDA9e,Consumer,3.232974861,14.79407185,1.175289844
fafF1aBDebaB2a6,Consumer,2.481038231,46.42915494,1.48934415
BdDb6C8Af309202,Consumer,1.545151868,15.89779489,2.409549366
FCdfFf08196f633,Consumer,2.75251608,21.41147211,3.071413887
356279dAa0F7CbD,Consumer,4.298713734,23.6649448,
F563CcbFBfEcf5a,Consumer,0.869343301,43.40681524,0.996996225
f2dceFc00F62542,Consumer,4.786638959,41.73003285,3.168920788
FEf0Cc496EB4bC0,Consumer,3.031821265,37.16929284,1.818402454
Af087410aB0c186,Consumer,,27.32513947,0.803000168
057EE455E68fe9E,Consumer,1.948840107,32.11889311,1.102572669
BEA2b99B1efBFAA,Home Office,1.010850972,,1.136940176
33730caFF13Ff4F,Consumer,2.874794918,49.12922931,1.446838225
Fec6b46586ad5ab,Consumer,,44.33340445,1.053880134
d8CF9ED8c6E5b0b,Corporate,3.928882531,30.89157618,4.160585704
b82C14f184d0cf6,Corporate,3.052085205,38.36599348,
F8E52fAaA87Cb2D,Corporate,2.410134372,21.30548181,1.360376668
aaB0b03cFED1CeE,Corporate,1.445241537,11.57489338,2.078578493
dFB1FaeB5915Dee,Corporate,1.953597128,45.97368588,2.948791068
983Dd56BB6Bbddb,Consumer,3.127109472,,3.285770112
Ccee761Bfb157db,Consumer,2.407764589,49.30453091,3.216670089
F0e6bBAfFAeE76E,Corporate,4.19991527,30.76863201,1.575289218
f628DfBb03CBD1F,Consumer,4.642428309,14.5256669,1.279176773
39Aded2dba9D2dA,Corporate,4.241961402,38.79758776,1.088464736
ab6F7E1f5F3f4cb,Corporate,3.023365905,21.88633659,4.660264614
Bbe2B2Dcf652e55,Home Office,2.378507061,22.31336278,3.36226212
CBCb48f7602b113,Home Office,1.056197645,20.44162956,3.455298771
AAF6e4Cec5f1dEe,Home Office,1.907248653,29.68015977,1.728858981
943DafaDB3cBb8f,Home Office,2.769386888,39.16911521,4.276164668
d82e9C3dE3bca25,Home Office,4.158070407,11.66547294,3.589549933
FC8993D4eea0fbF,Home Office,4.803449363,16.74828194,4.28195343
6Fc6eD447FD79f2,Home Office,0.84832385,48.15678838,4.434038233
0F0cb8FD3a9D664,Corporate,2.337606327,33.75991165,2.315383431
Cd78a54fdD9Cd09,Corporate,2.055190496,26.47020203,1.209843005
a1a3C9bAba7ffC6,Corporate,1.329264124,15.11128616,2.237339528
C0610bd81CF4a26,Corporate,1.460156667,48.11857656,4.553259584
Cae1Bf83A0EE8Fb,Corporate,2.611535203,8.04279924,1.50471058
9f1fFDfC68A4ab0,Corporate,1.938826952,43.51500997,2.112832147
4d7Bcb4f3beA01c,Corporate,2.904263072,32.81165967,4.859247553
433902DadEEEC75,Consumer,1.53206027,41.41838729,4.616050757
ECAac759b21a1e1,Consumer,3.396166353,41.09570938,4.99376503
dCfa25BcbcAba3e,Consumer,2.032924763,15.86377342,3.090569281
485C61e2eEAa78e,Consumer,2.849348098,37.95002193,1.495053093
0Bda3Ed3024eA18,Home Office,2.866397245,16.42264106,3.255974953
1bc064EAc82b9fC,Consumer,2.935141026,26.62415217,1.626537532
7fFc8D702cE0FC8,Consumer,1.969346337,11.49825306,0.845360202
1c7237427FeFabC,Consumer,2.443723943,19.00231794,4.891604611
eDdDAaa356B5dE8,Corporate,3.693028233,27.27294659,3.438342264
4C98C1ebF592153,Corporate,2.870528274,,1.655431364
4fb3Da4ff8D6555,Home Office,2.244269125,17.10677263,3.571447495
7cEbA3a43406FDc,Home Office,2.360950835,41.98174502,
6BC783eb7Af2Cd7,Home Office,2.584976828,37.52071903,1.224537341
Dc5EEDcebE9FDEe,Home Office,4.854997189,18.12615884,3.334066656
b1BDc0c4bcFfAAF,Home Office,,14.73694548,1.313256536
ffa71D8aaA9Dc79,Home Office,2.89642428,13.37721201,3.805540597
89495ABa8CFfe0a,Consumer,,32.21129596,4.423568892
A7b65abd07AA6b5,Consumer,2.306855785,36.04395931,1.105447314
DBefCB70Db08CA5,Home Office,3.899432758,19.36012722,4.473392981
afeEEFe2E97eb9B,Consumer,1.486509465,,3.765550122
Ad07d6Bcc2bbe9f,Corporate,1.018954009,37.35838219,1.777504608
fDDABc42EdaBfeb,Consumer,1.431038403,46.00012141,1.357103044
4F53dae8ADdc8E3,Home Office,2.470986782,21.74951981,1.042871961
6eED04DfAC73CAb,Home Office,4.418594079,30.8797514,2.066821987
ceDFd2aA38e2c10,Consumer,3.432372175,27.27696156,
C4ABFe7A253CEC6,Corporate,3.189141886,48.07377799,1.036433562
c942F5F96BfE1aB,Corporate,2.350525791,23.31939169,1.239436612
FcEDebdADD4C31F,Consumer,4.357194284,33.66991089,1.535366069
F2ddb8E0DD61Bfa,Consumer,2.120254,41.88634987,1.116262734
0aFC8AD4A4CaCCA,Corporate,2.874309716,9.013607723,4.610076661
1E36fC61E55fF4F,Consumer,4.832656197,15.11104045,4.418241882
f76d642cbC7AA9F,Corporate,3.665283866,10.69229086,2.279245818
08E4cdf6F02a58d,Corporate,4.175463785,38.51298954,4.134579141
Fdb71ff322d45bB,Corporate,4.821467817,24.51562253,4.94553897
Fe66eA7692E007C,Corporate,1.114627237,8.132375486,1.175818439
b646a0cc80278B1,Consumer,2.424379766,33.78965726,3.142829672
F03B0D2Ee9c0fEc,Consumer,2.761681875,42.13689419,4.945193377
D1CB9a34C869b7e,Consumer,1.274988939,34.67125152,3.28765254
e4fAfDA1B36ccAB,Consumer,3.340728209,21.17078795,3.938638148
c50FfCf9Bca1478,Consumer,2.488695918,27.62166549,1.308703471
AaBf7Ec3027BCE0,Consumer,4.718441648,38.5124135,1.596581505
